"leaf_area","leaf_number","shoot_dry_weight","root_dry_weight","shoot_fresh_weight","root_fresh_weight","plant_height","stem_diameter","shoot_length","root_length","root_to_shoot_ratio"
1,0.390209940097853,0.560537229240449,0.568785572160669,0.536627974491411,0.399548376568393,0.369158376227613,0.44171205962861,0.300478280752209,0.308675829403168,0.58959537422533
0.390209940097853,1,0.564638573552704,0.537531143351763,0.539416878741263,0.447152949868747,0.101548358280754,-0.0532631612253419,-0.166469259495192,0.230416230393002,0.485052906805896
0.560537229240449,0.564638573552704,1,0.680131258641969,0.955246620071167,0.69295942721631,0.469110338441647,0.544285948906654,0.580568504142761,0.276178097305942,0.579551603020062
0.568785572160669,0.537531143351763,0.680131258641969,1,0.586828746323746,0.523945077324414,0.218975857746427,0.216787437083852,0.349205532043515,0.0832418662885778,0.983964150738463
0.536627974491411,0.539416878741263,0.955246620071167,0.586828746323746,1,0.667158179631211,0.480531650446249,0.57210129352977,0.5491054733923,0.309534367580947,0.480333477378816
0.399548376568393,0.447152949868747,0.69295942721631,0.523945077324414,0.667158179631211,1,0.454421094140849,0.433583954330045,0.290007132480564,0.42661921046977,0.433822163457441
0.369158376227613,0.101548358280754,0.469110338441647,0.218975857746427,0.480531650446249,0.454421094140849,1,0.680630402714383,0.692740553254141,0.90695816959346,0.204041768930158
0.44171205962861,-0.0532631612253419,0.544285948906654,0.216787437083852,0.57210129352977,0.433583954330045,0.680630402714383,1,0.684914987061077,0.492655042686701,0.187255739180424
0.300478280752209,-0.166469259495192,0.580568504142761,0.349205532043515,0.5491054733923,0.290007132480564,0.692740553254141,0.684914987061077,1,0.32450785841249,0.308225958736783
0.308675829403168,0.230416230393002,0.276178097305942,0.0832418662885778,0.309534367580947,0.42661921046977,0.90695816959346,0.492655042686701,0.32450785841249,1,0.0875896212217001
0.58959537422533,0.485052906805896,0.579551603020062,0.983964150738463,0.480333477378816,0.433822163457441,0.204041768930158,0.187255739180424,0.308225958736783,0.0875896212217001,1
